Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
,,,,,,"アハーン,",aha-n,*moan*,"A single, seductive moan. Can be comical.",,,,,,,,,,,,,,,,,"オリャァ,",oryaa,war-cry,"What you yell as you attack; a fighting taunt or war cry. See also *dorya*, *ora*, *sorya*, and *uraa*. ",,"ガチャン,",gachan,*locks* *locking*,SFX for something being locked. ,,,,,,,"グクアッ,",gukua,*bash* *slash* *strike*,SFX for a fast-action attack movement in a fight. ,,,,,,,"ゴホ,",goho,*cough* *choke*,"SFX of when one is drowning, deep wet cough. See also *geho*, *gofu*, *kehen*, *kon*, and *koho*. ",,ささん,,,,,,,,,,すかと,,,,,,,,,,,,,,,,,,,,ちかちか,,*lights flickering*;,(2) Eyes getting tired from staring at computer or TV;,,,,,,,,,,,,どどおっ,,,,,,,,,,"ニャァー,",nyaa-,*meow*,SFX for a cat meowing. ,,,,,,,,,,,,,,,,,,,,,,,,(5) *blush*;,,,ぶい,,*Y*,,,"ベソベソ,",beso beso,*sob sob* ,SFX for crying. ,,ぼむ,,,,,,,,,,,,,,,むくむく,,*plump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*trembling*,See also *baku baku*. ,,,,,
,,,,,,あはーん,,,,,,,,,,"ウカウカ,",uka uka,*daydreaming*,Not paying attention. ,,,,,,,おりゃぁ,,,,,がちゃん,,,,,"ギラギラ,",gira gira,*sparkle*,In a gothic sense; slightly heavier than the *kira kira* ,,ぐくあっ,,,,,"ケラケラ,",kera kera,*giggle giggle*,See also *gera gera*. ,,ごほ,,,,,,,,,,"ジ,",ji,(1) *pause*;,"(1) Moment of silence, hesitation;",,,,,,,,,,,,"ゾット,",zotto,*chill* *shiver*,See also *chiri*. ,,"ター,",ta-,*dashing* *running*,"See also *da*, *dododo*, and *tatata*. ",,,,(2) *eyes tired*;,"(3) Like a ""wow"" effect from a revealing moment, or exposure to a glittery wonderland. ",,,,,,,,,,,,,,,,,,,,,,にゃぁー,,,,,,,,,,,,,,,,,,,,"バブーバブー,",babu- babu-,*goo goo* ,SFX for human baby talk. ,,,,(6) *shiver*,,,,,,,,べそべそ,,*whine whine*,,,"ボン,",bon,*appears*,"SFX for when something magically and suddenly appears. Often seen with a puff of smoke (see also *pon*, *pom*, and *dororonpa*). ",,,,,,,,,,,,,,*chubby*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,See also *ahha-n*. ,,,,,,,うかうか,,,,,,,,,,,,,,,,,,,,ぎらぎら,,,,,,,,,,けらけら,,*laugh*,,,,,,,,"サササ,",sasasa,*slide* *show* *pass* *sneak* *dash*,"Quick, hasty movement, sometimes to express secretive nature of action. ",,じ,,(2) *silence* *stare*,"(2) As in staring at someone, or looking at something for an extended period of time. Comes from the ""ji"" in ""jiro jiro miru"" (じろじろ見る). ",,"スッカリ,",sukkari,*completely better*,"Used in a positive context, but literally translates as ""all"". ",,,,,,,ぞっと,,,,,たー,,,,,,,(3) *sparkle sparkle*,,,,,,,,,,,,,"ドギマギ,",dogi magi,*flustered*,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばぶーばぶー,,*ga ga* ,,,"ビクリ,",bikuri,*shocked* *surprised*,"SFX for getting caught unawares, for getting startled by something.",,"ブク,",buku,(1) *bubble* *boiling*;,"(2) Something swollen, see also *puku*. ",,,,,,,ぼん,,,,,,,,,,,,,,,"ムムー,",mumu-,*grimace* *anger* *sulky*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"オソルオソル,",osoru osoru,*timidly*,Because you are scared. ,,"ガチャリ,",gachari,*click* *kachak*,"The click of something opening, such as a latch, a door, or even a belt. See also *kacha*. ",,,,,,,"グン,",gun,(1) *sudden halt*;,,,,,,,,"ゴホゴホ,",goho goho,*cough cough*,Deep coughing. ,,さささ,,*scuttle away*,,,,,,,,すっかり,,*all better*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どぎまぎ,,,,,,,,,,"ニャリ,",nyari,(1) *leer*;,"(3) Laughing or smiling in a derogatory, teasing, or teasingly evil manner. ",,,,,,,,,,,,,,,,,,,*gah gah*,,,びくり,,,"Comes from the adverb ""with a start"" or 「びくりと」. ",,ぶく,,(2) *swelling* *swollen*,,,"ベタベタ,",beta beta,*sticky*,"SFX for something adhering to something else, like a sticky feeling. ",,,,,,,,,,,,,,,,,むむー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワン！,",wan,*woof!*,SFX for the call of a dog or wolf. ,,,,,
,,,,,,,,,,,,,,,,"ウキッ,",uki,(1) *kye* *eh*;,A monkey-cry SFX. Often used by characters who resemble monkeys and to replace 「何？」.,,,,,,,おそるおそる,,,,,がちゃり,,,,,"ギラリ,",girari,(1) *glare*;,(1) SFX for a momentary angry look;,,ぐん,,(2) *grows rapidly*,,,"ケロ,",kero,*croak*,Croaking of a frog. ,,ごほごほ,,,,,,,,,,,,,,,,,*quite nice*,,,,,,,,"ゾワ,",zowa,*shiver* *shudder*,"SFX for a trembling notion, like shivering from fear or shuddering from disgust. ",,"ター！,",ta-,*roar!*,War-cry ,,"チックタック,",chikku takku,*tick tack* ,"Sound of clock, almost in a rhythmic sing-song way. ",,,,,,,,,,,,"ドゴッ,",dogo,*ker-thump* *ker-bonk* *bonk*,SFX for a light impact. ,,,,,,,にゃり,,(2) *grin* *evil grin*;,,,,,,,,,,,,,,,,,,,,*gaa gaa*,,,,,,,,,,,,,べたべた,,*stick stick*,,,"ボンヤリ,",bonyari,(!) *absent minded*,(1) Ex: absent-minded in class;,,,,,,,,,,,,"ムムム,",mumumu,(1) *what's this what's this?*; ,(1) Like when you realize something; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わん！,,,,,,,,
,,,,,,"アハハ,",ahaha,(1) *ahaha* *laughter* *hahaha*;,(1) The sound of loud laughter;,,,,,,,うきっ,,(2) *screech*,Ex: Naruse off Harlem Beat. ,,,,,,,,,,,,,,,,,ぎらり,,(2) *glitter*;,(2) SFX for a state of being shiny or twinkling;,,"グングン,",gun gun,(1) *grow(s) rapidly*; ,(1) Something growing rapidly; ,,けろ,,*ribbit*,,,,,,,,"サッサ,",sassa,*style* *brush*,,,"ジッ,",ji,*lites* *flame*,SFX for a match being lit. ,,"スッキリ,",sukkiri,(1) *clean*,(1) As in clean vs dirty;,,,,,,,ぞわ,,,,,たー！,,*haaaahhh!!*,,,ちっくたっく,,*tick tock* ,,,,,,,,,,,,,どごっ,,,,,,,,,,,,(3) *heh*,,,,,,,,,,,,,,,,,,"バッチリ,",bacchiri,*precise*,,,,,,,,"ブクッ,",buku,*toss* *lift*,"A smooth, hoist-like movement to pick something heavy up. ",,,,,,,ぼんやり,,*idly*,(2) Ex: the island is dimly visible. ,,,,,,,,,,,,むむむ,,(2) *hmmm*; ,(2) SFX for when you are dwelling on something; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あはは,,(2) *nervous laugh*,(2) Can also be a nervous laugh. ,,,,,,,,,,,,,,,,,"オタオタ,",ota ota,*not sure what to do*,,,"ガチッ,",gachi,*ker-chack* *open* *ka-cha*,"Like the opening of a latch, or opening a door with a handle and lock. ",,,,(3) *glint*,(3) SFX for an evil grin ,,ぐんぐん,,(2) *woosh* *rapidly* *smoothly*,"(2) Swift, rapid, smooth movement (aircraft, boats). ",,,,,,,"ゴホン,",gohon,(1) *ahem*;,(1) With a *cough* added to it;,,さっさ,,,,,じっ,,,,,すっきり,,*neat*;,"(2) As in clean, light, simple design;",,,,,,,,,,,,,,,,,,,*hickory dickory dock*,,,,,,,,,,,,,,,,,,,,,,,"ニョキニョキ,",nyoki nyoki,*growing* *popping out*,"Sound for something growing, i.e. Mushrooms. ",,,,,,,,,,,,,,,,,ばっちり,,*accurate*,,,"ビクゥッ,",bikuu,(1) *jolt* *jump*;,"(1) SFX for a surprised reaction, almost in fear;",,ぶくっ,,,,,"ベタリ,",betari,*stuck* *stick*,"People or objects that stick together, physically or metaphorically. ",,,,*vaguely*;,,,,,,,,,,,,,,,(3) *grrr*,(3) When you're pissed off. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワンワン,",wan wan,*bow-wow*,SFX for the sound of a dog calling. ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,おたおた,,*don't know what to do*,,,がちっ,,,,,,,,,,,,,,,"ケロケロ,",kero kero,*wibbit wibbit*,SFX for the croaking of a frog. ,,ごほん,,(2) *wet cough*,"(2) A deep, wet cough, also vomiting up water; see also *geho*, *gofu*, *kehen*, *kon*, and *koho*. ",,"サッサト,",sassato,*quickly*,Usually used in a condescending or patronizing tone:,,,,,,,,,(2) *clean*;,(3) Ex: a headache disappears and you feel all better again. ,,,,,,,,,,,,"タビタビ,",tabi tabi,*often* *repeatedly*,,,"チクッ,",chiku,*prick* *sting*,"SFX for a light prickly painful sensation, like when getting pricked with a needle or burr. ",,,,,,,,,,,,"ドグ,",dogu,*impact*,,,,,,,,にょきにょき,,,,,,,,,,,,,,,,,,,,,,*proper*,,,びくぅっ,,(2) *scared* *shock*,(2) SFX for a mortified or surprised reaction ,,,,,,,べたり,,,,,,,(2) *dimly*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わんわん,,*woof woof*,,,,,,
,,,,,,,,,,,,,,,,"ウキ,",uki,(1) *kye* *eh*;,Attempting to imitate a monkey. ,,,,,,,,,*uncertain*,,,,,,,,,,,,,,,,,,けろけろ,,*croak croak*,,,,,,,,さっさと,,,"Ex: ""Hurry up and finish your homework!""",,"ジーッ,",ji-,(1) *whine*;,"(1) Like when microphone is too close to the speakers, see also *Ui-n*;",,,,(3) *perfectly fine*,,,,,,,,,,,,,たびたび,,,,,ちくっ,,,,,,,,,,,,,,,どぐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バチャ,",bacha,*splat*,The sound of something wet or moist making impact.,,,,,,,"ブクブク,",buku buku,(1) *bubble bubble*;,"(1) Something expanding, blowing up (not explosion-wise), bubbles rising to the surface;",,,,,,,"ボォー,",boo-,*gazey*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*wuff wuff*,,,,,,
,,,,,,"アッハーン,",ahha-n,*moan*,"A single, seductive moan. ",,,,,,,うき,,(2) *screech*;,,,,,,,,,,*tentative*,,,"ガチガチ,",gachi gachi,(1) *freezing* ,(1) SFX when something is frozen or when you feel like you're going to freeze from the cold; ,,"ギラリギラリ,",girari girari,(1) *glare* *slow gleam*,(1) SFX for a momentary angry look ,,"グネ,",gune,*wiggle*,,,,,*ribbit ribbit*,,,,,,,,,,,"Ex: ""Go on now!"" ",,じーっ,,(2) *stare*,"(2) As in staring at someone, or looking at something for an extended period of time. Comes from the ""ji-"" in ""jiro jiro miru"" (じろじろ見る). ",,,,*all better*,,,,,,,,,,,,,"タマタマ,",tama tama,*occasionally*,"Derived from the adverb ""occasionally"" or 「たまに」. ",,,,,,,,,,,,,,,,,"ドヒュッ,",dohyu,*ka-whoosh* *fa-whoosh*,A combo SFX of *whoosh* for something moving very fast through the air. ,,,,,,,"ニョロニョロ,",nyoro nyoro,*wiggle wiggle* *slithering*,"SFX for snake poking its head out slowly, ex. Ayame in Furuba. ",,,,,,,,,,,,,,,,,ばちゃ,,*wet splat*,"This is composed of the sound of impact *ba* + the sound of light, wet impact *cha* or *chaku*. ",,,,,,,ぶくぶく,,(2) *boiling* *bubbles*,(2) SFX for something boiling and bubbling over;,,"ベトベト,",beto beto,*sticky* *gummy*,,,ぼぉー,,,,,,,,,,,,,,,"ムニャ,",munya,*sleepy gaze*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*ruff ruff*,,,,,,
,,,,,,あっはーん,,,,,,,,,,,,(3) *yay*,,,,,,,,"オット,",otto,*whoops* *oops*,,,がちがち,,*totally frozen*,(2) One's teeth chattering;,,ぎらりぎらり,,,,,ぐね,,,,,"ケロリ,",kerori,*unaffected* *casual* *unimpressed*,,,"ゴイン,",goin,*kick*,"SFX for something hitting, i.e. in a fight. ",,,,,,,,,,,,,,*refreshed*,,,,,,,,,,,,,たまたま,,,,,"チクチク,",chiku chiku,*itch itch* *prickle*,A pricking pain. ,,,,,,,,,,,,どひゅっ,,,,,,,,,,にょろにょろ,,,,,,,,,,,,,,,,,,,,,,,,,"ビリッ,",biri,(1) *rip* *tear*;,(1) SFX for tearing apart paper-like material. A greater rip than *Piri*. See also *biri biri*;,,,,*blub blub*;,(3) See also *puku*. ,,べとべと,,,,,"ボリバリ,",bori bari,*munch crunch*,"SFX for eating something, chewing on something crunchy.",,,,,,,,,,,,むにゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワナワナ,",wana wana,*tremble tremble* ,Trembling from fear or anger; trembling all over. ,,,,,
,,,,,,,,,,,,,,,,"ウキウキ,",uki uki,(1) *excited*;,(2) A happy type of floating feeling. ,,,,,,,おっと,,,,,,,*shivering*,(3) To be tight-fisted. ,,,,,,,"グニグニ,",guni guni,*bendy* *soft*,"A jelly type, soft, bendy touch. ",,けろり,,,,,ごいん,,*impact*,,,,,,,,,,,,,"スコーン,",suko-n,*plonk*,,,,,,,,,,,,,,,,,,ちくちく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,びりっ,,(2) *shock*;,"(2) SFX for a momentary, sharp shock sensation;",,,,(3) *swelling* *swollen*,,,"ベトーッ,",beto-,*streetch*,"SFX for something elastic, like gum stretching. ",,ぼりばり,,*munch munch*,,,,,,,,,,,,,"ムニュ,",munyu,*grope*,"Sound of groping, usually a girl's chest. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わなわな,,*shake shake*,,,,,,
,,,,,,"アッハハハ,",ahhahaha,*hahaha*,Laughter. ,,,,,,,うきうき,,(2) *buoyant* *floating*,,,,,,,,"オットット,",ottotto,*oops* *whoops*,SFX for an accident. ,,,,*shiver shiver*,,,"ギリ,",giri,(1) *twist*;,(1) SFX for twisting someone's arm backwards;,,ぐにぐに,,,,,"ケタケタ,",keta keta,*giggle giggle*,,,,,,,,"サスサス,",sasu sasu,(1) *shake shake*;,(1) Like when waking someone up. ,,"ジー,",ji-,(1) *stare* *silence* *frozen*;,"(1) The sound of staring, silence, or of remaining frozen/motionless;",,すこーん,,,,,,,,,,,,,,,"タン,",tan,(1) *tap*;,(1) Like in tap-dancing. ,,,,,,,,,,,,,,,,,"ドカッ,",doka,(1) *bump* *thump*; ,(1) Into someone in a rough way; ,,,,,,,"ニュルニュル,",nyuru nyuru,*smiley*,,,,,,,,,,,,,,,,,,"バチャバチャ,",bacha bacha,*splash splash* *splatter*,SFX for splattering or water splashing repeatedly. ,,,,(3) *vibrate* *bzz*,"(4) SFX for a prickling, needle-like, painful sensation. Longer than *piri piri*. ",,,,,,,べとーっ,,,,,,,*crunch crunch*,"See also *bori* (ボリ), and *bari* (バリ). ",,,,,,,,,,,,むにゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あっははは,,,,,,,,,,,,,,,,,,,,おっとっと,,,,,,,*shake shake*; ,,,ぎり,,(2) *sliding*;,"(3) SFX for grinding one's teeth, or biting something very hard ",,,,,,,けたけた,,,,,"ゴキッ,",goki,(1) *break*,(1) Ex: Breaking a bone;,,さすさす,,(2) *rub rub*,,,じー,,(2) *zip* *unzip*,(2) To undress or open something (with a zipper or sliding seal) ,,"ズコン,",sukon,*plunk* *plonk*,,,,,,,,,,,,,たん,,(2) *lands*,,,"チマチマ,",chima chima,*slowly* *fiddly* *little by little*,SFX to explain someone doing a task too slowly or a little by little when it can be done a lot faster and more efficiently. ,,,,,,,,,,,,どかっ,,(2) *bam*; ,(2) To put something down roughly (something big);,,,,,,,にゅるにゅる,,*grin grin*,,,,,,,,,,,,,,,,,,ばちゃばちゃ,,,,,,,,,,"ブンッ,",bun,(1) *swoosh* *whoosh*;,(1) SFX for swish of air when someone rears their arm back for a punch;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワラワラ,",wara wara,*chatter chatter*,"Crowded people, usually small kids. See also *waa* and *wai wai*. ",,,,,
,,,,,,,,,,,,,,,,"ウッカリ,",ukkari,(1) *oh crap!* ,"Where you forget to do something because you were daydreaming. An accident occurring because you weren't paying attention. Inadvertently, carelessly. ",,,,,,,,,,,,,,(2) *chatter*;,,,,,(3) *grind* *ngh*,,,"グヌヌ,",gununu,*blood rising* *riled up* *seething* *outrage*,"SFX for getting super passionate about something, in terms of fury or anger. In keeping with the expression ""it makes my blood boil when that happens"" (an expression of extremely passionate anger). ",,,,,,,ごきっ,,*snap*;,(2) Ex: Cracking one's knuckles;,,,,,,,,,,,,ずこん,,,,,,,,,,,,,,,,,,,,ちまちま,,,,,,,,,,,,,,,,,(3) *smack* *whack*;,"(6) In a very presumptuous, annunciative manner. ",,,,,,,,,*smile smile*,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぶんっ,,(2) *shake*,(2) SFX for shaking something with great force ,,"ベツベツ,",betsu betsu,*separate*,"SFX for separation. Derived from the word ""separate"" or 「別」as in ""different things"" or ""separate things"" 「別の物です」. ",,,,,,,,,,,,,,,,,"ムンズ,",munzu,*grabs* *yank*,"SFX to grab suddenly, with force. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わらわら,,,,,,,,
,,,,,,"アカ,",aka,*blush*,Blushing from embarrassment. ,,,,,,,うっかり,,*gah* ,,,,,,,,"オズオズ,",ozu ozu,*hesitantly*,,,,,(3) *greedy*;,,,,,,,,ぐぬぬ,,,,,,,,,,,,(2) *crack*,(3) To strike something hard,,"サット,",satto,(1) *quickly*;,(1) In terms of speed;,,,,,,,"スク,",suku,*gets up*,,,,,,,,,,,,,"タンッ,",tan,*thunk* *thok*,A lighter form of *thud*. A muffled sound of impact. ,,,,,,,,,,,,,,,,,,,(4) *punch* *hit* *kick*;,,,,,,,,,,*hehe*,,,,,,,,,,,,,,,,,,"バチャン,",bachan,*splash*,SFX for a single splash. ,,"ビリ,",biri,(1) *shock* *bzz* *energy*;,"(1) SFX for electricity, energy;",,,,,,,べつべつ,,,,,"ボリボリ,",bori bori,(1) *scratch scratch*; ,(1) Like on the thigh; ,,,,,,,,,,,,むんず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あか,,*red*,,,,,,,,,,*damn*,,,,,,,,おずおず,,*tentatively*,,,,,(4) *thinking hard*,,,"ギリギリ,",giri giri,(1) *giri giri*; ,(1) SFX for when something is brought to extremes; ,,,,,,,,,,,,,,*disjoint*;,,,さっと,,(2) *roughly*,"(2) To quickly go through something, Ex: skim through the newspaper without going through all the details. ",,"ジーーー,",ji---,*sta----re*,At one point/person for a long time. Unlike ジロジロ (Jiro jiro) it doesn't necessarily mean you are or want to fully examine the thing you are looking at. ,,すく,,,,,,,,,,,,,,,たんっ,,,,,"チン,",chin,*ting* *ding*,Like the sound of a bell or chime; can be analogous or mechanical. ,,,,,,,,,,,,,,(5) *thud* *strike*;,,,,,,,,"ニュルゥリ,",nyuruuri,*bleegghh* *blaagghh* *blegh* *blagh*,"SFX for something coming out of one's mouth, like a tongue. Can be used in a comedic or satirical context.",,,,,,,,,,,,,,,,,ばちゃん,,,,,びり,,(2) *shock* *tremble*;,"(2) SFX for being strained or the after-effects of absorbing an intense force or power (like from an intense emotion, or an explosion in battle) ",,,,,,,,,,,,ぼりぼり,,(2) *crunch crunch*,(2) When one is chewing something hard like ice. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワサワサ,",wasa wasa,*rustle rustle*,,,,,,
,,,,,,,,,,,,,,,,,,*oops*;,,,,,,,,,,*unsure*,,,"ガチィッ,",gachii,*ker-chack* ,"SFX for metallic clinking, or metallic items clacking against one another in an open-closed, repetitive motion. ",,ぎりぎり,,(2) *tie up*; ,(2) Commonly used when someone is being tied up; ,,"グニャ,",gunya,(1) *bend*;,(2) Sudden mental realization. ,,,,,,,,,(3) *bam*,See also *goki-* and *gokin*. ,,,,*skim*,,,じーーー,,,,,"スクッ,",suku,*gets up*,SFX for changing to an upright position. ,,,,,,,,,,,,,,,,,ちん,,,,,,,,,,,,,,,,,(6) *stomp*,,,,,,,,にゅるぅり,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *shudder*,,,"ブン,",bun,(1) *swish swish*,(1) When something is being swung around mid-air;,,"ベッタリ,",bettari,(1) *stuck together* ,(1) SFX for when someone/thing is stuck together. ,,,,,,,,,,,,,,,,,"ムラ,",mura,(1) *turned on* *interested*;,(1) SFX for sexual attraction;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わさわさ,,,,,,,,
,,,,,,"アカア,",akaa,*blush*,Blushing from embarrassment.,,,,,,,,,(2) *slip*,,,,,,,,,,,,,がちぃっ,,*ka-cha*,,,,,(3) *just barely*,(3) Where one barely makes a situation; ,,ぐにゃ,,(2) *realize*,,,,,,,,,,*smack*;,,,,,,,,,,,,,すくっ,,,,,,,,,,,,,,,"タノモーッ,",tanomo,*PLEASE WAIT!!*,"It's a heavily-accented ""tanomu"" or ""頼む"".",,,,,,,,,,,,,,,,,"ドカ,",doka,*stomp* *kick*,SFX for striking someone or something with one's foot. ,,,,,,,,,,See also *nyuru*. ,,,,,,,,,,,,,,,,,"バチ,",bachi,*crackle*,"SFX for electricity, or emphasis for an intense and powerful moment.",,,,,,,ぶん,,*shake shake*;,(2) Like a bee. ,,べったり,,*glued*;,"Ex: glue and paper, even couples;",,,,,,,,,,,,,,,,,むら,,(2) *irresistibly* *suddenly*,"(2) SFX for an impulse emotion, a sudden desire to want to do something ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワッシ,",wasshi,*one-two*,SFX for the sound one makes while motivating oneself to use physical effort or to exert oneself physically.,,,,,
,,,,,,あかあ,,*red*,See also *aka*. ,,,,,,,,,*careless*;,,,,,,,,,,,,,,,,,,,,*last moment*,"(4) SFX for a rough, scratchy sound, or to grind one's teeth, barely audible grinding sound;",,,,,,,,,,,,,,(4) *flash*,,,"サワ,",sawa,*fresh* *refreshing* *clear* *fluent* *eloquent* *invigorating*,,,"ジーコジーコ,",ji-ko ji-ko,*whir-whirl*,"SFX for a mechanical wind-up sound, such as a wind-up robot or mechanical figurine. ",,,,,,,,,,,,,,,,,たのもーっ,,*FORGIVE THE INTRUSION!*,To request; to beg; to ask.,,"チンッ,",chin,*clang* *cling* ,"SFX for a light metallic sound, can be mechanical. ",,,,,,,,,,,,どか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばち,,,See also *bari* and *biri*. ,,"ビリビリ,",biri biri,(1) *biri*; ,(1) A continuous stream of *biri*; ,,,,(2) *bzz* *buzz*,,,,,(2) *daub*,"(2) To apply ointment, or to apply paint or colors (liquid matter);",,"ボロ,",boro,(1) *in disrepair*,(3) SFX for tears falling. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わっし,,*one-and-a-two*,"Ex: Counting out ""one-two-three, and a one-two-three"" while doing jumping jacks. ",,,,,
,,,,,,,,,,,,,,,,,,(3) *off guard*,,,,,,,,,,,,,"ガチン,",gachin,*clunk*,,,,,*last minute*; ,(5) More vigorous than *kiri*; See also *bari bari*. ,,"グンヤリ,",gunyari,*flex flex*,SFX for stretching oneself. ,,,,,,,"ゴキー,",goki-,(1) *break*,(1) Ex: Breaking a bone;,,さわ,,,,,じーこじーこ,,*whirr*,,,"スクスク,",suku suku,*grow*,To grow up well. ,,,,,,,,,,,,,,,To call; to order; to reserve.,,ちんっ,,*ding* *chink*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,びりびり,,(2) *bzzz*; ,(2) Sound of electricity flowing or getting electrocuted;,,,,,,,,,*apply*,(3) Can be used to describe humor for a character's child-like unwillingness to move;,,ぼろ,,*beyond disrepair*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*one-two-three*,,,,,,
