,,,,,More »,,,,,,,"ワーンワーン,",wa-n wa-n,*waah waah*,SFX for crying loudly and hysterically. ,,"ンク,",nku,*sniff* ,"See also *funka*, *hunka*, and *kunka*. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,わーんわーん,,*booh hoo*,,,んく,,*inhale*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*bawling*,More »,,,,,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワーワー,",wa-wa-,(1) *roar*;,(1) (A crowd's) excited roar. See also *wai wai* and *wara wara*;,,"ンマッ,",nma,*geh* *gah*,SFX for shock. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,わーわー,,(2) *chatter* *rustle*,(2) SFX for background noise of pedestrians on the street. ,,んまっ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,"ンモ,",nmo,*munch* ,SFX for eating with mouth closed. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワア,",waa,(1) *wow*;,"(2) Like the war cries of soldiers in battle, or cry of protest. ",,んも,,*mmm munch*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わあ,,(2) *roar* *yaahh!*;,,,,,,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(3) *cheer* *applause*,More »,,"ンン,",nn,(1) *grunt* *urgh* *ugh* *argh* *arg* *umph* *mmph* *nn*;,"(1) SFX for a grunt of effort, stress, or pain;",,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワッフン,",waffun,*grunt*,Light SFX...strange grunt. ,,んん,,(2) *hm?*,(2) Can be used as a question 「んん？」 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,わっふん,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワフ,",wafu,(1) *grunt*;,(1) Light SFX...strange grunt;,,"ンヌー,",nnu-,*menacing*,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,わふ,,(2) *woof*,"(2) SFX for dog ""woof-ing"", see also *Wafu wafu*. ",,んぬー,,*scary*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,*rawr*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,"ンショ,",nsho,(1) *grunt*;,Sound made when exerting physical effort or strain. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワフワフ,",wafu wafu,(1) *grunt grunt*,(1) Light SFX...strange grunt;,,んしょ,,(2) oof! umph!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わふわふ,,*mumble mumble*;,"(2) SFX for dog ""woof-ing"", see also *Wafu*. ",,,,,Same as *Yoisho*; see also *nisho* and *unsho*. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(2) *woof woof*,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワフーン,",wafu-n,*whine*,"High-pitched, sad whine of a dog. ",,"ンッショ,",nsho,*grunt*,Sound made when exerting physical effort.,,,,,,,,,,,,,,,
,,,,,,,,,,,,わふーん,,,,,んっしょ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワハハ,",wahaha,*hahaha*,"Full-on, loud laughter.",,"ンショット,",nshotto,(1) *effort*; ,"(1) See also *nisho*, *unsho*, and *yoisho*;",,,,,,,,,,,,,,,
,,,,,,,,,,,,わはは,,*bwahaha*,,,んしょっと,,(2) oof! umph!,"(2) Effort, strain. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*ahaha*,See also *hahaha* (ハハハ). ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワイ,",wai,*yay!* *delight*,"Feminine exclamation of delight, spoken by a character. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わい,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワイワイ,",wai wai,*chatter chatter*,"To explain lively action/noise, like *Gaya gaya* ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わいわい,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワク,",waku,*excitement* *happy*,Cute anticipation. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わく,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワクワク,",waku waku,*excited* ,"Happy, cute anticipation.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わくわく,,*nervous* ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*trembling*,See also *baku baku*. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワン！,",wan,*woof!*,SFX for the call of a dog or wolf. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わん！,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワンワン,",wan wan,*bow-wow*,SFX for the sound of a dog calling. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わんわん,,*woof woof*,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*wuff wuff*,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*ruff ruff*,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワナワナ,",wana wana,*tremble tremble* ,Trembling from fear or anger; trembling all over. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わなわな,,*shake shake*,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワラワラ,",wara wara,*chatter chatter*,"Crowded people, usually small kids. See also *waa* and *wai wai*. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わらわら,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワサワサ,",wasa wasa,*rustle rustle*,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わさわさ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワッシ,",wasshi,*one-two*,SFX for the sound one makes while motivating oneself to use physical effort or to exert oneself physically.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わっし,,*one-and-a-two*,"Ex: Counting out ""one-two-three, and a one-two-three"" while doing jumping jacks. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*one-two-three*,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*hee haa*,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*huff huff*,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワタワタ,",wata wata,(1) *panic*;,(1) Moving busily;,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わたわた,,(2) *flap flap*,"(2) SFX for arms flailing around, trying to cover a mistake. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワワ,",wawa,*whoa*,"In a ""what the heck"" way. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わわ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"ワザワザ,",waza waza,*expressly* *intentionally*,To go through the trouble of doing something. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,わざわざ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,More »,,,,,,,,,,,,,,,,,,,,
